y,x,dominant_freq_Hz,energy_J,mass_kg,mass_ratio
0,0,0.0,0.0,0.0,0.0
0,20,0.0,0.0,0.0,0.0
0,40,0.0,0.0,0.0,0.0
0,60,0.0,0.0,0.0,0.0
0,80,0.0,0.0,0.0,0.0
0,100,0.0,0.0,0.0,0.0
0,120,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
20,20,0.0,0.0,0.0,0.0
20,40,0.0,0.0,0.0,0.0
20,60,0.0,0.0,0.0,0.0
20,80,0.0,0.0,0.0,0.0
20,100,0.0,0.0,0.0,0.0
20,120,0.0,0.0,0.0,0.0
40,0,0.0,0.0,0.0,0.0
40,20,0.0,0.0,0.0,0.0
40,40,0.0,0.0,0.0,0.0
40,60,0.0,0.0,0.0,0.0
40,80,0.0,0.0,0.0,0.0
40,100,0.0,0.0,0.0,0.0
40,120,0.0,0.0,0.0,0.0
60,0,0.0,0.0,0.0,0.0
60,20,0.0,0.0,0.0,0.0
60,40,0.0,0.0,0.0,0.0
60,60,0.0,0.0,0.0,0.0
60,80,0.0,0.0,0.0,0.0
60,100,0.0,0.0,0.0,0.0
60,120,0.0,0.0,0.0,0.0
80,0,0.0,0.0,0.0,0.0
80,20,0.0,0.0,0.0,0.0
80,40,0.0,0.0,0.0,0.0
80,60,0.0,0.0,0.0,0.0
80,80,0.0,0.0,0.0,0.0
80,100,0.0,0.0,0.0,0.0
80,120,0.0,0.0,0.0,0.0
100,0,0.0,0.0,0.0,0.0
100,20,0.0,0.0,0.0,0.0
100,40,0.0,0.0,0.0,0.0
100,60,0.0,0.0,0.0,0.0
100,80,0.0,0.0,0.0,0.0
100,100,0.0,0.0,0.0,0.0
100,120,0.0,0.0,0.0,0.0
120,0,0.0,0.0,0.0,0.0
120,20,0.0,0.0,0.0,0.0
120,40,0.0,0.0,0.0,0.0
120,60,0.0,0.0,0.0,0.0
120,80,0.0,0.0,0.0,0.0
120,100,0.0,0.0,0.0,0.0
120,120,0.0,0.0,0.0,0.0
